Sector económico;Sexo;Comunidades y Ciudades Autónomas;Periodo;Total
Total;Mujeres;09 Cataluña;2019T3;1.639,9
Total;Mujeres;09 Cataluña;2019T2;1.635,3
Total;Mujeres;09 Cataluña;2019T1;1.603,5
Total;Mujeres;09 Cataluña;2018T4;1.593,4
Total;Mujeres;09 Cataluña;2018T3;1.590,6
Total;Mujeres;09 Cataluña;2018T2;1.582,4
Total;Mujeres;09 Cataluña;2018T1;1.554,7
Total;Mujeres;09 Cataluña;2017T4;1.557,3
Total;Mujeres;09 Cataluña;2017T3;1.548,9
Total;Mujeres;09 Cataluña;2017T2;1.541,5
Total;Mujeres;09 Cataluña;2017T1;1.505,5
Total;Mujeres;09 Cataluña;2016T4;1.500,9
Total;Mujeres;09 Cataluña;2016T3;1.518,2
Total;Mujeres;09 Cataluña;2016T2;1.487,2
Total;Mujeres;09 Cataluña;2016T1;1.461,2
Total;Mujeres;10 Comunitat Valenciana;2025T3;1.112,3
Total;Mujeres;10 Comunitat Valenciana;2025T2;1.097,0
Total;Mujeres;10 Comunitat Valenciana;2025T1;1.076,4
Total;Mujeres;10 Comunitat Valenciana;2024T4;1.103,6
Total;Mujeres;10 Comunitat Valenciana;2024T3;1.059,5
Total;Mujeres;10 Comunitat Valenciana;2024T2;1.099,9
Total;Mujeres;10 Comunitat Valenciana;2024T1;1.055,2
Total;Mujeres;10 Comunitat Valenciana;2023T4;1.082,0
Total;Mujeres;10 Comunitat Valenciana;2023T3;1.078,4
Total;Mujeres;10 Comunitat Valenciana;2023T2;1.039,9
Total;Mujeres;10 Comunitat Valenciana;2023T1;1.016,1
Total;Mujeres;10 Comunitat Valenciana;2022T4;1.022,0
Total;Mujeres;10 Comunitat Valenciana;2022T3;996,6
Total;Mujeres;10 Comunitat Valenciana;2022T2;998,5
Total;Mujeres;10 Comunitat Valenciana;2022T1;996,9
Total;Mujeres;10 Comunitat Valenciana;2021T4;968,6
Total;Mujeres;10 Comunitat Valenciana;2021T3;944,9
Total;Mujeres;10 Comunitat Valenciana;2021T2;930,2
Total;Mujeres;10 Comunitat Valenciana;2021T1;912,7
Total;Mujeres;10 Comunitat Valenciana;2020T4;932,0
Total;Mujeres;10 Comunitat Valenciana;2020T3;905,2
Total;Mujeres;10 Comunitat Valenciana;2020T2;859,0
Total;Mujeres;10 Comunitat Valenciana;2020T1;924,7
Total;Mujeres;10 Comunitat Valenciana;2019T4;937,9
Total;Mujeres;10 Comunitat Valenciana;2019T3;928,3
Total;Mujeres;10 Comunitat Valenciana;2019T2;925,4
Total;Mujeres;10 Comunitat Valenciana;2019T1;908,4
Total;Mujeres;10 Comunitat Valenciana;2018T4;922,1
Total;Mujeres;10 Comunitat Valenciana;2018T3;918,9
Total;Mujeres;10 Comunitat Valenciana;2018T2;919,7
Total;Mujeres;10 Comunitat Valenciana;2018T1;899,9
Total;Mujeres;10 Comunitat Valenciana;2017T4;917,1
Total;Mujeres;10 Comunitat Valenciana;2017T3;899,9
Total;Mujeres;10 Comunitat Valenciana;2017T2;866,2
Total;Mujeres;10 Comunitat Valenciana;2017T1;884,3
Total;Mujeres;10 Comunitat Valenciana;2016T4;904,2
Total;Mujeres;10 Comunitat Valenciana;2016T3;872,2
Total;Mujeres;10 Comunitat Valenciana;2016T2;862,1
Total;Mujeres;10 Comunitat Valenciana;2016T1;855,9
Total;Mujeres;11 Extremadura;2025T3;196,0
Total;Mujeres;11 Extremadura;2025T2;194,2
Total;Mujeres;11 Extremadura;2025T1;186,1
Total;Mujeres;11 Extremadura;2024T4;182,8
Total;Mujeres;11 Extremadura;2024T3;192,1
Total;Mujeres;11 Extremadura;2024T2;189,0
Total;Mujeres;11 Extremadura;2024T1;181,0
Total;Mujeres;11 Extremadura;2023T4;184,9
Total;Mujeres;11 Extremadura;2023T3;184,2
Total;Mujeres;11 Extremadura;2023T2;178,5
Total;Mujeres;11 Extremadura;2023T1;175,0
Total;Mujeres;11 Extremadura;2022T4;177,3
Total;Mujeres;11 Extremadura;2022T3;181,5
Total;Mujeres;11 Extremadura;2022T2;180,5
Total;Mujeres;11 Extremadura;2022T1;170,7
Total;Mujeres;11 Extremadura;2021T4;169,7
Total;Mujeres;11 Extremadura;2021T3;174,2
Total;Mujeres;11 Extremadura;2021T2;166,0
Total;Mujeres;11 Extremadura;2021T1;156,3
Total;Mujeres;11 Extremadura;2020T4;167,9
Total;Mujeres;11 Extremadura;2020T3;164,0
Total;Mujeres;11 Extremadura;2020T2;160,1
Total;Mujeres;11 Extremadura;2020T1;161,6
Total;Mujeres;11 Extremadura;2019T4;159,3
Total;Mujeres;11 Extremadura;2019T3;167,2
Total;Mujeres;11 Extremadura;2019T2;160,9
Total;Mujeres;11 Extremadura;2019T1;154,2
Total;Mujeres;11 Extremadura;2018T4;156,9
Total;Mujeres;11 Extremadura;2018T3;160,4
Total;Mujeres;11 Extremadura;2018T2;154,9
Total;Mujeres;11 Extremadura;2018T1;148,0
Total;Mujeres;11 Extremadura;2017T4;151,2
Total;Mujeres;11 Extremadura;2017T3;155,7
Total;Mujeres;11 Extremadura;2017T2;154,7
Total;Mujeres;11 Extremadura;2017T1;142,7
Total;Mujeres;11 Extremadura;2016T4;145,7
Total;Mujeres;11 Extremadura;2016T3;152,3
Total;Mujeres;11 Extremadura;2016T2;152,2
Total;Mujeres;11 Extremadura;2016T1;142,3
Total;Mujeres;12 Galicia;2025T3;580,7
Total;Mujeres;12 Galicia;2025T2;575,4
Total;Mujeres;12 Galicia;2025T1;563,6
Total;Mujeres;12 Galicia;2024T4;557,9
Total;Mujeres;12 Galicia;2024T3;561,7
Total;Mujeres;12 Galicia;2024T2;544,6
Total;Mujeres;12 Galicia;2024T1;544,8
Total;Mujeres;12 Galicia;2023T4;547,0
Total;Mujeres;12 Galicia;2023T3;547,3
Total;Mujeres;12 Galicia;2023T2;546,4
Total;Mujeres;12 Galicia;2023T1;531,2
Total;Mujeres;12 Galicia;2022T4;536,1
Total;Mujeres;12 Galicia;2022T3;533,3
Total;Mujeres;12 Galicia;2022T2;529,1
Total;Mujeres;12 Galicia;2022T1;517,2
Total;Mujeres;12 Galicia;2021T4;517,6
Total;Mujeres;12 Galicia;2021T3;526,3
Total;Mujeres;12 Galicia;2021T2;513,2
Total;Mujeres;12 Galicia;2021T1;501,8
Total;Mujeres;12 Galicia;2020T4;509,5
Total;Mujeres;12 Galicia;2020T3;505,7
Total;Mujeres;12 Galicia;2020T2;497,6
Total;Mujeres;12 Galicia;2020T1;508,2
Total;Mujeres;12 Galicia;2019T4;518,9
Total;Mujeres;12 Galicia;2019T3;521,3
Total;Mujeres;12 Galicia;2019T2;524,8
Total;Mujeres;12 Galicia;2019T1;520,0
Total;Mujeres;12 Galicia;2018T4;519,8
Total;Mujeres;12 Galicia;2018T3;521,8
Total;Mujeres;12 Galicia;2018T2;516,6
Total;Mujeres;12 Galicia;2018T1;501,9
Total;Mujeres;12 Galicia;2017T4;504,1
Total;Mujeres;12 Galicia;2017T3;508,1
Total;Mujeres;12 Galicia;2017T2;498,9
Total;Mujeres;12 Galicia;2017T1;494,7
Total;Mujeres;12 Galicia;2016T4;495,5
Total;Mujeres;12 Galicia;2016T3;498,1
Total;Mujeres;12 Galicia;2016T2;488,1
Total;Mujeres;12 Galicia;2016T1;484,9
Total;Mujeres;13 Madrid, Comunidad de;2025T3;1.733,3
Total;Mujeres;13 Madrid, Comunidad de;2025T2;1.761,6
Total;Mujeres;13 Madrid, Comunidad de;2025T1;1.747,0
Total;Mujeres;13 Madrid, Comunidad de;2024T4;1.719,2
Total;Mujeres;13 Madrid, Comunidad de;2024T3;1.666,0
Total;Mujeres;13 Madrid, Comunidad de;2024T2;1.672,3
Total;Mujeres;13 Madrid, Comunidad de;2024T1;1.676,2
Total;Mujeres;13 Madrid, Comunidad de;2023T4;1.643,2
Total;Mujeres;13 Madrid, Comunidad de;2023T3;1.590,1
Total;Mujeres;13 Madrid, Comunidad de;2023T2;1.624,0
Total;Mujeres;13 Madrid, Comunidad de;2023T1;1.606,8
Total;Mujeres;13 Madrid, Comunidad de;2022T4;1.560,0
Total;Mujeres;13 Madrid, Comunidad de;2022T3;1.535,6
Total;Mujeres;13 Madrid, Comunidad de;2022T2;1.554,8
Total;Mujeres;13 Madrid, Comunidad de;2022T1;1.533,4
Total;Mujeres;13 Madrid, Comunidad de;2021T4;1.544,5
Total;Mujeres;13 Madrid, Comunidad de;2021T3;1.544,1
Total;Mujeres;13 Madrid, Comunidad de;2021T2;1.544,4
Total;Mujeres;13 Madrid, Comunidad de;2021T1;1.513,8
Total;Mujeres;13 Madrid, Comunidad de;2020T4;1.501,0
Total;Mujeres;13 Madrid, Comunidad de;2020T3;1.450,4
Total;Mujeres;13 Madrid, Comunidad de;2020T2;1.443,0
Total;Mujeres;13 Madrid, Comunidad de;2020T1;1.538,7
Total;Mujeres;13 Madrid, Comunidad de;2019T4;1.550,1
Total;Mujeres;13 Madrid, Comunidad de;2019T3;1.488,6
Total;Mujeres;13 Madrid, Comunidad de;2019T2;1.500,5
Total;Mujeres;13 Madrid, Comunidad de;2019T1;1.464,1
Total;Mujeres;13 Madrid, Comunidad de;2018T4;1.467,8
Total;Mujeres;13 Madrid, Comunidad de;2018T3;1.433,0
Total;Mujeres;13 Madrid, Comunidad de;2018T2;1.435,3
Total;Mujeres;13 Madrid, Comunidad de;2018T1;1.423,1
Total;Mujeres;13 Madrid, Comunidad de;2017T4;1.419,8
Total;Mujeres;13 Madrid, Comunidad de;2017T3;1.413,1
Total;Mujeres;13 Madrid, Comunidad de;2017T2;1.403,9
Total;Mujeres;13 Madrid, Comunidad de;2017T1;1.374,6
Total;Mujeres;13 Madrid, Comunidad de;2016T4;1.383,5
Total;Mujeres;13 Madrid, Comunidad de;2016T3;1.357,2
Total;Mujeres;13 Madrid, Comunidad de;2016T2;1.370,2
Total;Mujeres;13 Madrid, Comunidad de;2016T1;1.355,8
Total;Mujeres;14 Murcia, Región de;2025T3;310,1
Total;Mujeres;14 Murcia, Región de;2025T2;301,3
Total;Mujeres;14 Murcia, Región de;2025T1;295,9
Total;Mujeres;14 Murcia, Región de;2024T4;297,7
Total;Mujeres;14 Murcia, Región de;2024T3;314,4
Total;Mujeres;14 Murcia, Región de;2024T2;302,9
Total;Mujeres;14 Murcia, Región de;2024T1;297,6
Total;Mujeres;14 Murcia, Región de;2023T4;295,1
Total;Mujeres;14 Murcia, Región de;2023T3;295,0
Total;Mujeres;14 Murcia, Región de;2023T2;293,7
Total;Mujeres;14 Murcia, Región de;2023T1;282,5
Total;Mujeres;14 Murcia, Región de;2022T4;284,5
Total;Mujeres;14 Murcia, Región de;2022T3;280,6
Total;Mujeres;14 Murcia, Región de;2022T2;290,7
Total;Mujeres;14 Murcia, Región de;2022T1;276,6
Total;Mujeres;14 Murcia, Región de;2021T4;275,9
Total;Mujeres;14 Murcia, Región de;2021T3;282,0
Total;Mujeres;14 Murcia, Región de;2021T2;271,8
Total;Mujeres;14 Murcia, Región de;2021T1;252,9
Total;Mujeres;14 Murcia, Región de;2020T4;259,6
Total;Mujeres;14 Murcia, Región de;2020T3;261,9
Total;Mujeres;14 Murcia, Región de;2020T2;245,4
Total;Mujeres;14 Murcia, Región de;2020T1;258,1
Total;Mujeres;14 Murcia, Región de;2019T4;259,5
Total;Mujeres;14 Murcia, Región de;2019T3;266,0
Total;Mujeres;14 Murcia, Región de;2019T2;264,0
Total;Mujeres;14 Murcia, Región de;2019T1;251,1
Total;Mujeres;14 Murcia, Región de;2018T4;255,0
Total;Mujeres;14 Murcia, Región de;2018T3;252,8
Total;Mujeres;14 Murcia, Región de;2018T2;249,5
Total;Mujeres;14 Murcia, Región de;2018T1;239,3
Total;Mujeres;14 Murcia, Región de;2017T4;250,3
Total;Mujeres;14 Murcia, Región de;2017T3;249,8
Total;Mujeres;14 Murcia, Región de;2017T2;248,2
Total;Mujeres;14 Murcia, Región de;2017T1;236,8
Total;Mujeres;14 Murcia, Región de;2016T4;240,7
Total;Mujeres;14 Murcia, Región de;2016T3;237,6
Total;Mujeres;14 Murcia, Región de;2016T2;236,1
Total;Mujeres;14 Murcia, Región de;2016T1;222,6
Total;Mujeres;15 Navarra, Comunidad Foral de;2025T3;141,2
Total;Mujeres;15 Navarra, Comunidad Foral de;2025T2;147,2
Total;Mujeres;15 Navarra, Comunidad Foral de;2025T1;144,9
Total;Mujeres;15 Navarra, Comunidad Foral de;2024T4;149,5
Total;Mujeres;15 Navarra, Comunidad Foral de;2024T3;146,5
Total;Mujeres;15 Navarra, Comunidad Foral de;2024T2;146,8
Total;Mujeres;15 Navarra, Comunidad Foral de;2024T1;141,0
Total;Mujeres;15 Navarra, Comunidad Foral de;2023T4;139,9
Total;Mujeres;15 Navarra, Comunidad Foral de;2023T3;141,6
Total;Mujeres;15 Navarra, Comunidad Foral de;2023T2;138,9
Total;Mujeres;15 Navarra, Comunidad Foral de;2023T1;133,7
Total;Mujeres;15 Navarra, Comunidad Foral de;2022T4;137,3
Total;Mujeres;15 Navarra, Comunidad Foral de;2022T3;135,5
Total;Mujeres;15 Navarra, Comunidad Foral de;2022T2;136,9
Total;Mujeres;15 Navarra, Comunidad Foral de;2022T1;139,2
Total;Mujeres;15 Navarra, Comunidad Foral de;2021T4;138,7
Total;Mujeres;15 Navarra, Comunidad Foral de;2021T3;139,5
Total;Mujeres;15 Navarra, Comunidad Foral de;2021T2;136,7
Total;Mujeres;15 Navarra, Comunidad Foral de;2021T1;131,8
Total;Mujeres;15 Navarra, Comunidad Foral de;2020T4;129,9
Total;Mujeres;15 Navarra, Comunidad Foral de;2020T3;129,9
Total;Mujeres;15 Navarra, Comunidad Foral de;2020T2;123,7
Total;Mujeres;15 Navarra, Comunidad Foral de;2020T1;130,5
Total;Mujeres;15 Navarra, Comunidad Foral de;2019T4;133,4
Total;Mujeres;15 Navarra, Comunidad Foral de;2019T3;132,8
Total;Mujeres;15 Navarra, Comunidad Foral de;2019T2;135,3
Total;Mujeres;15 Navarra, Comunidad Foral de;2019T1;132,8
Total;Mujeres;15 Navarra, Comunidad Foral de;2018T4;134,8
Total;Mujeres;15 Navarra, Comunidad Foral de;2018T3;129,6
Total;Mujeres;15 Navarra, Comunidad Foral de;2018T2;132,5
Total;Mujeres;15 Navarra, Comunidad Foral de;2018T1;129,2
Total;Mujeres;15 Navarra, Comunidad Foral de;2017T4;127,6
Total;Mujeres;15 Navarra, Comunidad Foral de;2017T3;121,8
Total;Mujeres;15 Navarra, Comunidad Foral de;2017T2;124,1
Total;Mujeres;15 Navarra, Comunidad Foral de;2017T1;125,2
Total;Mujeres;15 Navarra, Comunidad Foral de;2016T4;128,2
Total;Mujeres;15 Navarra, Comunidad Foral de;2016T3;124,0
Total;Mujeres;15 Navarra, Comunidad Foral de;2016T2;117,2
Total;Mujeres;15 Navarra, Comunidad Foral de;2016T1;118,8
Total;Mujeres;16 País Vasco;2025T3;485,3
Total;Mujeres;16 País Vasco;2025T2;490,3
Total;Mujeres;16 País Vasco;2025T1;489,5
Total;Mujeres;16 País Vasco;2024T4;479,2
Total;Mujeres;16 País Vasco;2024T3;473,8
Total;Mujeres;16 País Vasco;2024T2;493,0
Total;Mujeres;16 País Vasco;2024T1;470,7
Total;Mujeres;16 País Vasco;2023T4;490,0
Total;Mujeres;16 País Vasco;2023T3;467,6
Total;Mujeres;16 País Vasco;2023T2;470,9
Total;Mujeres;16 País Vasco;2023T1;450,8
Total;Mujeres;16 País Vasco;2022T4;449,0
Total;Mujeres;16 País Vasco;2022T3;460,8
Total;Mujeres;16 País Vasco;2022T2;456,1
Total;Mujeres;16 País Vasco;2022T1;464,8
Total;Mujeres;16 País Vasco;2021T4;474,0
Total;Mujeres;16 País Vasco;2021T3;456,3
Total;Mujeres;16 País Vasco;2021T2;453,3
Total;Mujeres;16 País Vasco;2021T1;439,1
Total;Mujeres;16 País Vasco;2020T4;442,3
Total;Mujeres;16 País Vasco;2020T3;444,2
Total;Mujeres;16 País Vasco;2020T2;431,3
Total;Mujeres;16 País Vasco;2020T1;447,1
Total;Mujeres;16 País Vasco;2019T4;450,7
Total;Mujeres;16 País Vasco;2019T3;442,5
Total;Mujeres;16 País Vasco;2019T2;455,8
Total;Mujeres;16 País Vasco;2019T1;452,8
Total;Mujeres;16 País Vasco;2018T4;445,3
Total;Mujeres;16 País Vasco;2018T3;436,5
Total;Mujeres;16 País Vasco;2018T2;449,0
Total;Mujeres;16 País Vasco;2018T1;433,7
Total;Mujeres;16 País Vasco;2017T4;433,2
Total;Mujeres;16 País Vasco;2017T3;419,8
Total;Mujeres;16 País Vasco;2017T2;422,1
Total;Mujeres;16 País Vasco;2017T1;417,0
Total;Mujeres;16 País Vasco;2016T4;422,1
Total;Mujeres;16 País Vasco;2016T3;422,5
Total;Mujeres;16 País Vasco;2016T2;426,0
Total;Mujeres;16 País Vasco;2016T1;422,9
Total;Mujeres;17 Rioja, La;2025T3;72,3
Total;Mujeres;17 Rioja, La;2025T2;70,9
Total;Mujeres;17 Rioja, La;2025T1;69,9
Total;Mujeres;17 Rioja, La;2024T4;69,3
Total;Mujeres;17 Rioja, La;2024T3;66,6
Total;Mujeres;17 Rioja, La;2024T2;67,3
Total;Mujeres;17 Rioja, La;2024T1;65,1
Total;Mujeres;17 Rioja, La;2023T4;66,3
Total;Mujeres;17 Rioja, La;2023T3;68,1
Total;Mujeres;17 Rioja, La;2023T2;66,8
Total;Mujeres;17 Rioja, La;2023T1;65,4
Total;Mujeres;17 Rioja, La;2022T4;68,2
Total;Mujeres;17 Rioja, La;2022T3;67,9
Total;Mujeres;17 Rioja, La;2022T2;67,1
Total;Mujeres;17 Rioja, La;2022T1;65,2
Total;Mujeres;17 Rioja, La;2021T4;67,4
Total;Mujeres;17 Rioja, La;2021T3;65,3
Total;Mujeres;17 Rioja, La;2021T2;63,7
Total;Mujeres;17 Rioja, La;2021T1;61,1
Total;Mujeres;17 Rioja, La;2020T4;64,1
Total;Mujeres;17 Rioja, La;2020T3;61,3
Total;Mujeres;17 Rioja, La;2020T2;62,7
Total;Mujeres;17 Rioja, La;2020T1;64,0
Total;Mujeres;17 Rioja, La;2019T4;67,0
Total;Mujeres;17 Rioja, La;2019T3;66,2
Total;Mujeres;17 Rioja, La;2019T2;67,3
Total;Mujeres;17 Rioja, La;2019T1;65,4
Total;Mujeres;17 Rioja, La;2018T4;65,4
Total;Mujeres;17 Rioja, La;2018T3;64,3
Total;Mujeres;17 Rioja, La;2018T2;63,7
Total;Mujeres;17 Rioja, La;2018T1;62,6
Total;Mujeres;17 Rioja, La;2017T4;60,4
Total;Mujeres;17 Rioja, La;2017T3;60,4
Total;Mujeres;17 Rioja, La;2017T2;60,3
Total;Mujeres;17 Rioja, La;2017T1;59,6
Total;Mujeres;17 Rioja, La;2016T4;61,6
Total;Mujeres;17 Rioja, La;2016T3;60,3
Total;Mujeres;17 Rioja, La;2016T2;58,3
Total;Mujeres;17 Rioja, La;2016T1;58,3
Total;Mujeres;18 Ceuta;2025T3;11,5
Total;Mujeres;18 Ceuta;2025T2;13,6
Total;Mujeres;18 Ceuta;2025T1;11,5
Total;Mujeres;18 Ceuta;2024T4;12,2
Total;Mujeres;18 Ceuta;2024T3;11,7
Total;Mujeres;18 Ceuta;2024T2;11,5
Total;Mujeres;18 Ceuta;2024T1;11,1
Total;Mujeres;18 Ceuta;2023T4;11,2
Total;Mujeres;18 Ceuta;2023T3;12,2
Total;Mujeres;18 Ceuta;2023T2;12,1
Total;Mujeres;18 Ceuta;2023T1;11,4
Total;Mujeres;18 Ceuta;2022T4;10,8
Total;Mujeres;18 Ceuta;2022T3;10,6
Total;Mujeres;18 Ceuta;2022T2;11,3
Total;Mujeres;18 Ceuta;2022T1;11,1
Total;Mujeres;18 Ceuta;2021T4;10,3
Total;Mujeres;18 Ceuta;2021T3;10,0
Total;Mujeres;18 Ceuta;2021T2;11,7
Total;Mujeres;18 Ceuta;2021T1;10,4
Total;Mujeres;18 Ceuta;2020T4;11,4
Total;Mujeres;18 Ceuta;2020T3;10,9
Total;Mujeres;18 Ceuta;2020T2;10,8
Total;Mujeres;18 Ceuta;2020T1;11,8
Total;Mujeres;18 Ceuta;2019T4;10,9
Total;Mujeres;18 Ceuta;2019T3;10,8
Total;Mujeres;18 Ceuta;2019T2;11,2
Total;Mujeres;18 Ceuta;2019T1;12,1
Total;Mujeres;18 Ceuta;2018T4;11,1
Total;Mujeres;18 Ceuta;2018T3;10,8
Total;Mujeres;18 Ceuta;2018T2;11,9
Total;Mujeres;18 Ceuta;2018T1;11,0
Total;Mujeres;18 Ceuta;2017T4;10,9
Total;Mujeres;18 Ceuta;2017T3;10,6
Total;Mujeres;18 Ceuta;2017T2;11,1
Total;Mujeres;18 Ceuta;2017T1;11,3
Total;Mujeres;18 Ceuta;2016T4;10,8
Total;Mujeres;18 Ceuta;2016T3;9,7
Total;Mujeres;18 Ceuta;2016T2;10,0
Total;Mujeres;18 Ceuta;2016T1;10,4
Total;Mujeres;19 Melilla;2025T3;11,7
Total;Mujeres;19 Melilla;2025T2;11,1
Total;Mujeres;19 Melilla;2025T1;12,7
Total;Mujeres;19 Melilla;2024T4;13,1
Total;Mujeres;19 Melilla;2024T3;12,6
Total;Mujeres;19 Melilla;2024T2;13,0
Total;Mujeres;19 Melilla;2024T1;11,7
Total;Mujeres;19 Melilla;2023T4;11,4
Total;Mujeres;19 Melilla;2023T3;13,2
Total;Mujeres;19 Melilla;2023T2;12,7
Total;Mujeres;19 Melilla;2023T1;11,3
Total;Mujeres;19 Melilla;2022T4;11,0
Total;Mujeres;19 Melilla;2022T3;11,5
Total;Mujeres;19 Melilla;2022T2;11,9
Total;Mujeres;19 Melilla;2022T1;11,5
Total;Mujeres;19 Melilla;2021T4;12,3
Total;Mujeres;19 Melilla;2021T3;10,7
Total;Mujeres;19 Melilla;2021T2;11,7
Total;Mujeres;19 Melilla;2021T1;12,2
Total;Mujeres;19 Melilla;2020T4;13,1
Total;Mujeres;19 Melilla;2020T3;12,5
Total;Mujeres;19 Melilla;2020T2;13,0
Total;Mujeres;19 Melilla;2020T1;12,6
Total;Mujeres;19 Melilla;2019T4;11,3
Total;Mujeres;19 Melilla;2019T3;10,7
Total;Mujeres;19 Melilla;2019T2;11,7
Total;Mujeres;19 Melilla;2019T1;11,7
Total;Mujeres;19 Melilla;2018T4;11,9
Total;Mujeres;19 Melilla;2018T3;11,5
Total;Mujeres;19 Melilla;2018T2;11,4
Total;Mujeres;19 Melilla;2018T1;10,4
Total;Mujeres;19 Melilla;2017T4;10,7
Total;Mujeres;19 Melilla;2017T3;9,8
Total;Mujeres;19 Melilla;2017T2;8,9
Total;Mujeres;19 Melilla;2017T1;8,7
Total;Mujeres;19 Melilla;2016T4;9,9
Total;Mujeres;19 Melilla;2016T3;9,0
Total;Mujeres;19 Melilla;2016T2;8,3
Total;Mujeres;19 Melilla;2016T1;9,2
Agricultura;Ambos sexos;Total Nacional;2025T3;747,3
Agricultura;Ambos sexos;Total Nacional;2025T2;764,7
Agricultura;Ambos sexos;Total Nacional;2025T1;761,9
Agricultura;Ambos sexos;Total Nacional;2024T4;736,9
Agricultura;Ambos sexos;Total Nacional;2024T3;733,7
Agricultura;Ambos sexos;Total Nacional;2024T2;772,0
Agricultura;Ambos sexos;Total Nacional;2024T1;765,8
Agricultura;Ambos sexos;Total Nacional;2023T4;793,5
Agricultura;Ambos sexos;Total Nacional;2023T3;724,1
Agricultura;Ambos sexos;Total Nacional;2023T2;776,3
Agricultura;Ambos sexos;Total Nacional;2023T1;775,2
Agricultura;Ambos sexos;Total Nacional;2022T4;781,3
Agricultura;Ambos sexos;Total Nacional;2022T3;751,9
Agricultura;Ambos sexos;Total Nacional;2022T2;810,5
Agricultura;Ambos sexos;Total Nacional;2022T1;850,2
Agricultura;Ambos sexos;Total Nacional;2021T4;855,5
Agricultura;Ambos sexos;Total Nacional;2021T3;778,6
Agricultura;Ambos sexos;Total Nacional;2021T2;822,3
Agricultura;Ambos sexos;Total Nacional;2021T1;815,8
Agricultura;Ambos sexos;Total Nacional;2020T4;782,1
Agricultura;Ambos sexos;Total Nacional;2020T3;731,1
Agricultura;Ambos sexos;Total Nacional;2020T2;763,4
Agricultura;Ambos sexos;Total Nacional;2020T1;784,8
Agricultura;Ambos sexos;Total Nacional;2019T4;793,9
Agricultura;Ambos sexos;Total Nacional;2019T3;746,2
Agricultura;Ambos sexos;Total Nacional;2019T2;809,3
Agricultura;Ambos sexos;Total Nacional;2019T1;839,7
Agricultura;Ambos sexos;Total Nacional;2018T4;825,6
Agricultura;Ambos sexos;Total Nacional;2018T3;768,4
Agricultura;Ambos sexos;Total Nacional;2018T2;822,5
Agricultura;Ambos sexos;Total Nacional;2018T1;833,8
Agricultura;Ambos sexos;Total Nacional;2017T4;820,7
Agricultura;Ambos sexos;Total Nacional;2017T3;777,0
Agricultura;Ambos sexos;Total Nacional;2017T2;832,6
Agricultura;Ambos sexos;Total Nacional;2017T1;847,7
Agricultura;Ambos sexos;Total Nacional;2016T4;816,7
Agricultura;Ambos sexos;Total Nacional;2016T3;743,8
Agricultura;Ambos sexos;Total Nacional;2016T2;760,2
Agricultura;Ambos sexos;Total Nacional;2016T1;777,4
Agricultura;Ambos sexos;01 Andalucía;2025T3;211,8
Agricultura;Ambos sexos;01 Andalucía;2025T2;245,0
Agricultura;Ambos sexos;01 Andalucía;2025T1;273,3
Agricultura;Ambos sexos;01 Andalucía;2024T4;252,9
Agricultura;Ambos sexos;01 Andalucía;2024T3;211,9
Agricultura;Ambos sexos;01 Andalucía;2024T2;240,9
Agricultura;Ambos sexos;01 Andalucía;2024T1;252,8
Agricultura;Ambos sexos;01 Andalucía;2023T4;263,9
Agricultura;Ambos sexos;01 Andalucía;2023T3;191,1
Agricultura;Ambos sexos;01 Andalucía;2023T2;238,5
Agricultura;Ambos sexos;01 Andalucía;2023T1;265,2
Agricultura;Ambos sexos;01 Andalucía;2022T4;240,4
Agricultura;Ambos sexos;01 Andalucía;2022T3;206,6
Agricultura;Ambos sexos;01 Andalucía;2022T2;241,6
Agricultura;Ambos sexos;01 Andalucía;2022T1;292,6
Agricultura;Ambos sexos;01 Andalucía;2021T4;296,9
Agricultura;Ambos sexos;01 Andalucía;2021T3;220,1
Agricultura;Ambos sexos;01 Andalucía;2021T2;270,7
Agricultura;Ambos sexos;01 Andalucía;2021T1;313,0
Agricultura;Ambos sexos;01 Andalucía;2020T4;290,9
Agricultura;Ambos sexos;01 Andalucía;2020T3;227,1
Agricultura;Ambos sexos;01 Andalucía;2020T2;251,7
Agricultura;Ambos sexos;01 Andalucía;2020T1;289,4
Agricultura;Ambos sexos;01 Andalucía;2019T4;274,1
Agricultura;Ambos sexos;01 Andalucía;2019T3;204,2
Agricultura;Ambos sexos;01 Andalucía;2019T2;252,3
Agricultura;Ambos sexos;01 Andalucía;2019T1;291,0
Agricultura;Ambos sexos;01 Andalucía;2018T4;266,2
Agricultura;Ambos sexos;01 Andalucía;2018T3;201,4
Agricultura;Ambos sexos;01 Andalucía;2018T2;245,0
Agricultura;Ambos sexos;01 Andalucía;2018T1;291,1
Agricultura;Ambos sexos;01 Andalucía;2017T4;274,4
Agricultura;Ambos sexos;01 Andalucía;2017T3;214,1
Agricultura;Ambos sexos;01 Andalucía;2017T2;266,9
Agricultura;Ambos sexos;01 Andalucía;2017T1;297,2
Agricultura;Ambos sexos;01 Andalucía;2016T4;260,6
Agricultura;Ambos sexos;01 Andalucía;2016T3;205,8
Agricultura;Ambos sexos;01 Andalucía;2016T2;238,6
Agricultura;Ambos sexos;01 Andalucía;2016T1;279,1
Agricultura;Ambos sexos;02 Aragón;2025T3;40,9
Agricultura;Ambos sexos;02 Aragón;2025T2;35,6
